time_step,time_sec,f_t,I_Ca_pA,n_Ca_excess_fmol,S_E_perturbed,S_E_control
152,1.52,0.0854226006367924,-20.87628895608081,0.10818411647448209,0.03716064283517562,0.0
153,1.53,0.0838978509098556,-20.503657876624683,0.106253085332563,0.03742627554850697,0.0
154,1.54,0.085663308772493,-20.93511522170027,0.10848896316370558,0.03769749795641619,0.0
155,1.55,0.0864083180975553,-21.117186826041895,0.10943248601358707,0.03797107917145026,0.0
156,1.56,0.0884036079749881,-21.604812439426578,0.11195943638610446,0.038250977762415594,0.0
157,1.57,0.0836305891240592,-20.438342208105908,0.10591460956680264,0.03851576428633263,0.0
158,1.58,0.0841874161479782,-20.574424249196113,0.10661980747886259,0.03878231380502972,0.0
159,1.59,0.0836386308255408,-20.440307506312433,0.10592479404214351,0.03904712579013514,0.0
160,1.6,0.0854431583574874,-20.881313023649675,0.10821015195962934,0.03931765117003416,0.0
161,1.61,0.0827564208848697,-20.22470566904592,0.10480751240631145,0.03957966995105,0.0
162,1.62,0.0867225586484374,-21.193983557738548,0.10983045840150567,0.03985424609705379,0.0
163,1.6300000000000001,0.085714386857384,-20.947598110907094,0.10855365140129085,0.04012563022555693,0.0
164,1.6400000000000001,0.0831119089259495,-20.311582807071336,0.10525772299876321,0.040388774533053784,0.0
165,1.6500000000000001,0.082417081144162,-20.141774987604638,0.10437775295436927,0.04064971891543978,0.0
166,1.6600000000000001,0.0851330080625142,-20.805515902871242,0.10781735970809579,0.04091926231470999,0.0
167,1.67,0.0840416840638682,-20.538809024707827,0.10643524394832268,0.04118535042458071,0.0
168,1.68,0.0862590443883729,-21.080706069623723,0.10924343716444901,0.0414584590174919,0.0
169,1.69,0.0822448281251513,-20.09967835542981,0.1041596017797057,0.041718858021941196,0.0
170,1.7,0.0832421634794167,-20.343415503287044,0.10542268489033033,0.04198241473416697,0.0
171,1.71,0.0823143463643416,-20.116667803634797,0.10424764369401875,0.042243033843402,0.0
172,1.72,0.0851992357142691,-20.82170116982181,0.1079012342323771,0.04251278692898286,0.0
173,1.73,0.0847559377831655,-20.71336431711112,0.1073398161222528,0.042781136469288605,0.0
174,1.74,0.082059539991316,-20.054396092969476,0.10392494218256451,0.04304094882474496,0.0
175,1.75,0.0820525316066454,-20.05268332535987,0.1039160663593298,0.04330073899064335,0.0
176,1.76,0.0803508340459605,-19.636808255672342,0.10176093825813518,0.04355514133628868,0.0
177,1.77,0.0791553558300054,-19.344647299544423,0.1002469155803722,0.04380575862523961,0.0
178,1.78,0.0811765243376107,-19.838597348818926,0.10280664014519834,0.044062775225602646,0.0
179,1.79,0.080361849700476,-19.639500353372394,0.1017748891194092,0.044317212448401255,0.0
180,1.8,0.0794816885747616,-19.424399222625386,0.10066020222120219,0.044568862953954236,0.0
