time_sec,S_E_median,S_E_percentile_2_5,S_E_percentile_97_5
1.07,0.026215984118542313,0.014256791875152839,0.03929746082344437
1.08,0.026431893739426116,0.014374207971945736,0.039621106879595414
1.09,0.02665175195067082,0.014493771393467024,0.039950671827607045
1.1,0.026868405272544527,0.014611591930168786,0.04027543268304935
1.11,0.02709435999446047,0.014734470759702646,0.04061413623093879
1.12,0.02731665201620076,0.014855357737476526,0.040947349433090835
1.1300000000000001,0.02754364966932288,0.014978803734471267,0.041287616322948736
1.1400000000000001,0.027775839965118954,0.015105073597453543,0.04163566692487827
1.1500000000000001,0.027998267283214473,0.015226034152170833,0.041969082934721895
1.16,0.02822773284296376,0.015350822247596424,0.04231304918843188
1.17,0.02846014255176993,0.015477211431890766,0.04266142868795798
1.18,0.02867584451569044,0.015594514600551933,0.04298476346869245
1.19,0.02890724380566162,0.015720354298282238,0.043331628361923315
1.2,0.029141770224508978,0.015847894593073866,0.04368318078562959
1.21,0.029367952746618298,0.015970897305042586,0.04402222580340766
1.22,0.029604249933749938,0.01609940058008214,0.044376432588550924
1.23,0.029834455454998854,0.016224591081804865,0.044721508036098985
1.24,0.03007135253124954,0.01635342058889741,0.045076614048181356
1.25,0.03031136440275789,0.01648394398577575,0.045436389102785926
1.26,0.030549517338629262,0.01661345645518456,0.045793377634098624
1.27,0.03078012058634505,0.016738863248748105,0.04613904926907887
1.28,0.03102882941106605,0.016874116227828688,0.04651186095723539
1.29,0.03127087742609613,0.017005746921472432,0.046874688167727524
1.3,0.031526302331502165,0.017144652243494235,0.04725756718413741
1.31,0.03177723474470773,0.01728111445576992,0.04763371200604033
1.32,0.032017583086763446,0.01741182083225878,0.04799399142615305
1.33,0.03227336648661344,0.017550921110939602,0.04837740782164067
1.34,0.03252746010407248,0.017689102451168375,0.048758291252620524
1.35,0.03277998059941273,0.017826428295203027,0.04913681659150843
1.36,0.033038461582734935,0.017966995575311492,0.0495242766338162
1.37,0.03329742406693792,0.018107824705511616,0.049912458440445874
1.3800000000000001,0.03356450802444033,0.018253070460089803,0.0503128142428091
1.3900000000000001,0.03382144094136463,0.018392795869820767,0.05069795375126431
1.4000000000000001,0.03409390534055862,0.018540967619358473,0.051106374774281996
1.41,0.03436354118376944,0.018687601141920807,0.051510555824181264
1.42,0.03462139809460474,0.018827829038562963,0.05189708038895764
1.43,0.03487778468999775,0.018967257347398164,0.05228140096767621
1.44,0.035141064506142516,0.019110434331589644,0.05267605440558522
1.45,0.03540818625823633,0.019255700639644553,0.05307646686160938
1.46,0.035671275048715145,0.019398773740146175,0.05347083395422649
1.47,0.03593987350683803,0.019544843111340762,0.05387345997572525
1.48,0.036210815093974336,0.019692186724331154,0.05427959832085792
1.49,0.03647454798190908,0.019835610098289533,0.05467493090820624
1.5,0.03674417943376729,0.019982241232743763,0.05507910537551812
1.51,0.037008204810025314,0.020125823667873775,0.055474876399523254
1.52,0.03727953038119225,0.02027337609928523,0.05588159033233297
1.53,0.037546012929699335,0.02041829479527028,0.05628104462947994
1.54,0.03781810305581906,0.020566263007405015,0.05668890462143326
1.55,0.03809255953556345,0.020715518091357223,0.0571003117504477
1.56,0.03837335360233535,0.020868219685607536,0.05752121885004483
1.57,0.03863898725422549,0.021012676734136024,0.057919400660857094
1.58,0.03890638954122139,0.021158095602846136,0.05832023363549596
1.59,0.039172048735757636,0.021302566541991422,0.058718453734442726
1.6,0.039443439603874864,0.02145015448322871,0.05912526554663534
1.61,0.03970629665806108,0.021593101560763706,0.05951928526919624
1.62,0.039981751251844555,0.021742899439678758,0.05993218855975739
1.6300000000000001,0.04025400361594883,0.021890955880169396,0.06034029174459684
1.6400000000000001,0.04051798979749799,0.02203451700040979,0.06073600401618078
1.6500000000000001,0.04077976901574537,0.02217687792857165,0.0611284080749773
1.6600000000000001,0.04105017476159628,0.02232393014003957,0.06153374320014235
1.67,0.04131711416358674,0.0224690972823543,0.06193388231544393
1.68,0.04159109650915471,0.022618094522380183,0.06234457872274212
1.69,0.041852328604644995,0.022760157913923156,0.0627361626507739
1.7,0.04211672851032405,0.02290394402586276,0.06313249509010395
1.71,0.04237818141477839,0.023046127497866158,0.06352441000825126
1.72,0.04264879751778655,0.02319329410588702,0.06393006045639277
1.73,0.04291800558517589,0.023339694995150876,0.06433360027522055
1.74,0.04317864915481512,0.02348143833421992,0.06472430200972205
1.75,0.043439270463905444,0.023623169567544147,0.06511497037591507
1.76,0.04369448671556175,0.02376196141936132,0.0654975366227368
1.77,0.04394590580104252,0.023898688294039523,0.06587441096082276
1.78,0.0442037446711665,0.024038906379771543,0.06626090848277895
1.79,0.044458995911558,0.02417771725918318,0.06664352717731525
1.8,0.04471145151919692,0.02431500781595002,0.06702195525027974
1.81,0.044953682672261575,0.024446738103827314,0.0673850569825943
1.82,0.0452094262306475,0.02458581671589971,0.06776841365618229
1.83,0.045444730624379814,0.0247137800894501,0.0681211322553571
1.84,0.04568513775042443,0.0248445184338824,0.06848149979199801
1.85,0.04594058237758519,0.024983434481000367,0.06886440837109285
1.86,0.04617969080142975,0.025113466564439885,0.0692228291679665
1.87,0.04642738041184802,0.025248165273799958,0.06959411306552207
1.8800000000000001,0.04666182882715736,0.025375663148661833,0.06994554856281558
1.8900000000000001,0.04690196655916856,0.02550625499107276,0.07030551228087681
1.9000000000000001,0.04714345646158902,0.025637582171589568,0.07066750288694057
1.9100000000000001,0.047380489643163826,0.025766485695559397,0.07102281291934957
1.92,0.04761279001684171,0.025892815421159978,0.07137102852676673
1.93,0.047842855973595444,0.02601793002483707,0.07171589476873041
1.94,0.04808118841616599,0.02614754011368442,0.07207315237853519
1.95,0.04831374395702953,0.026274008604453784,0.07242175047864999
1.96,0.0485429473551075,0.02639865413096546,0.07276532375500849
1.97,0.04877442089160744,0.026524534205486512,0.07311229994293807
1.98,0.049004738246590185,0.026649785524696025,0.07345754302797611
1.99,0.049233495650385706,0.0267741885103352,0.07380044776399808
2.0,0.04946770923304744,0.026901558678368718,0.07415153124983452
2.0100000000000002,0.04969310021844853,0.027024130936380016,0.07448938976312573
2.02,0.049912599471558794,0.02714349914907782,0.07481841663699307
2.0300000000000002,0.05013024971668173,0.02726186183316632,0.07514467186900171
2.04,0.05034523769756283,0.027378776723151754,0.07546693639731324
2.05,0.05056337295898555,0.027497403169089222,0.07579391866321672
2.06,0.05078586843984023,0.027618400792118126,0.07612743684825779
2.07,0.05100745992544847,0.027738906803921375,0.07645959995474741
2.08,0.05122350953063676,0.02785639902706091,0.07678345584577247
2.09,0.05143770605108311,0.02797288350456812,0.07710453398393047
2.1,0.051653711722731865,0.028090351835744386,0.07742832401908141
2.11,0.051871286181803034,0.028208673305817698,0.07775446564866394
2.12,0.052079197790235454,0.028321739918783565,0.07806612277548275
2.13,0.05229317682906359,0.02843810612530943,0.07838687491117832
2.14,0.05249665618449034,0.02854876238784353,0.07869188814135526
2.15,0.05269542669685873,0.028656857884580996,0.07898984286955973
2.16,0.05290675560970476,0.028771782898039427,0.07930662249667116
2.17,0.05311224621986371,0.028883532922302727,0.07961465057472433
2.18,0.05331970884417864,0.02899635536846226,0.0799256346794782
2.19,0.05351967868505936,0.02910510308473549,0.0802253871874271
2.2,0.05373764335633607,0.02922363676023959,0.0805521137406498
2.21,0.053946713531221546,0.02933733342549413,0.08086550754535166
2.22,0.054167410597794174,0.029457353033812264,0.08119632992792054
2.23,0.054375931051581394,0.029570750749416366,0.08150889970697367
2.24,0.05457418913312395,0.029678567575721234,0.08180608630722176
2.25,0.05477527452214637,0.029787921950039643,0.082107511009096
2.2600000000000002,0.05498728301165767,0.02990321653127924,0.08242530931386823
2.27,0.055192183063898004,0.0300146453979885,0.08273245215234505
2.2800000000000002,0.05541251973534994,0.03013446901602058,0.08306273430674375
2.29,0.05561567485078156,0.030244948950170113,0.08336726150487048
2.3000000000000003,0.0558290285139611,0.030360975064543685,0.08368707620961026
2.31,0.056051501559915284,0.030481960487011812,0.0840205607649915
2.32,0.05626036665220291,0.030595545624127578,0.08433364715322117
2.33,0.05647442932751301,0.03071195731389424,0.08465452465904824
2.34,0.05669209973890976,0.03083033096481771,0.08498081012007114
2.35,0.056889849777706836,0.030937871507018353,0.0852772351700452
2.36,0.05711941714757218,0.031062714968881,0.08562135403595644
2.37,0.057344293370237,0.031185007288318828,0.08595844092578434
2.38,0.05756904781393629,0.03130723338184827,0.08629534527033346
2.39,0.05778977213369502,0.03142726781101012,0.0866262085051173
2.4,0.05801508381660336,0.031549796942693296,0.08696394814487748
2.41,0.058252948114596526,0.03167915244488188,0.08732050401130699
2.42,0.05849460812319601,0.0318105721326407,0.08768274960459037
2.43,0.058709696077151985,0.031927541390042516,0.0880051639913996
2.44,0.05894273310518622,0.03205427172344774,0.08835448383528487
2.45,0.059168193349449505,0.0321768816458542,0.0886924461668198
2.46,0.059400547716290386,0.032303240734048375,0.0890407427093717
2.47,0.059641117875354144,0.03243406773919285,0.08940135463064657
2.48,0.05987608697753338,0.032561848774294064,0.0897535706316123
2.49,0.06011480638101957,0.032691669300453904,0.09011140829141086
2.5,0.06035195134853083,0.032820633615917263,0.09046688588966204
2.5100000000000002,0.06059514908722702,0.03295288955296013,0.09083143652280057
2.52,0.06084283098120058,0.03308758406595863,0.09120270885349362
2.5300000000000002,0.061076935993914894,0.03321489519141967,0.09155362959421863
2.54,0.061322587687627717,0.03334848563972044,0.09192185867790435
2.5500000000000003,0.06157097263707417,0.03348356248875906,0.09229418488072286
2.56,0.06181845570849548,0.033618148877960524,0.0926651591786805
2.57,0.06206030223165071,0.033749669996174674,0.09302768435515327
2.58,0.06230624889283337,0.03388342085385805,0.09339635559170786
2.59,0.06255055085121436,0.03401627728829822,0.0937625614375445
2.6,0.06280738092868088,0.03415594677181504,0.09414754679082697
2.61,0.06305914329300294,0.034292860328594174,0.09452493569997605
2.62,0.06331715628723628,0.03443317310660153,0.0949116942319837
2.63,0.06357401810168378,0.034572859849342,0.0952967271586382
2.64,0.06382512264022216,0.034709415666917195,0.09567312999444941
2.65,0.06409011883107257,0.03485352605100879,0.09607035625844246
2.66,0.06434439945761816,0.034991809090628836,0.09645152001390754
2.67,0.06460259949016356,0.03513222358392088,0.09683855891420905
2.68,0.06485607131080073,0.03527006677823694,0.09721851027885335
2.69,0.06511722366550804,0.035412086805100496,0.09760997467636211
2.7,0.06538911119754393,0.03555994484240166,0.09801753098209706
2.71,0.06565657381106355,0.03570539651791728,0.09841845438550605
2.72,0.06593031769442137,0.03585426407728421,0.09882879334067435
2.73,0.06619923049550347,0.03600050439465159,0.09923189055867933
2.74,0.06647771968118948,0.036151952547116624,0.09964934266784925
2.75,0.0667392516694324,0.03629417902651236,0.10004137613169257
2.7600000000000002,0.06700721765344697,0.036439904445266035,0.10044305408172532
2.77,0.06729001253761746,0.03659369412520888,0.10086696038375519
2.7800000000000002,0.06756584606806021,0.036743698077680284,0.10128043169604133
2.79,0.06782790188790139,0.03688620942748332,0.10167325037746851
2.8000000000000003,0.06809551955821153,0.03703174542607387,0.10207440620923598
2.81,0.06836337780731827,0.03717741225636667,0.1024759226658722
2.82,0.06863438191463861,0.03732478986912031,0.10288215472804679
2.83,0.06891405457119748,0.03747688161741031,0.1033013808465407
2.84,0.06918388725556673,0.03762362218624683,0.10370585695908847
2.85,0.06945964706116486,0.037773586045630095,0.10411921775867454
2.86,0.0697282605387251,0.03791966358470397,0.10452186629413818
2.87,0.06999129579631935,0.038062707572921003,0.10491615314157283
2.88,0.07025890007223096,0.03820823628736193,0.10531728889528971
2.89,0.07052111602088446,0.03835083471850974,0.10571034760797829
2.9,0.07080311293763658,0.03850419044734263,0.10613305776596031
2.91,0.07106274976522564,0.038645386299358896,0.10652225040562503
2.92,0.07133404186010606,0.03879292052567654,0.10692891415786365
2.93,0.07159925844594062,0.03893715076509778,0.10732647079142106
2.94,0.07184754367009805,0.039072173381471204,0.10769864750717005
2.95,0.07211906274885527,0.039219831046293965,0.10810565150564788
2.96,0.0723972426804313,0.03937111102000733,0.10852264004643822
2.97,0.07265972922788366,0.03951385660835279,0.10891610438363608
2.98,0.07291581713427281,0.039653122483958504,0.10929997723094853
2.99,0.07317537460468554,0.039794275179908474,0.10968905091511204
3.0,0.07344264680148221,0.03993962330289012,0.11008968888602788
3.0100000000000002,0.07371325774241855,0.040086787103669884,0.11049533159628269
3.02,0.07397844456379221,0.04023100115656456,0.11089284361325291
3.0300000000000002,0.07423351374445103,0.040369713028145564,0.11127518940232893
3.04,0.07448861482091484,0.040508442245321866,0.11165758300285247
3.0500000000000003,0.07474447704087289,0.04064758538800019,0.11204111754878196
3.06,0.07500006933995035,0.040786581742146694,0.11242424748639387
3.0700000000000003,0.0752498935346525,0.04092244128238529,0.11279873110141532
3.08,0.07549890052731795,0.04105785641133253,0.11317198973991578
3.09,0.07575535819130919,0.041197323368734474,0.1135564168496514
3.1,0.07599721294669476,0.041328848963804975,0.11391895436614338
3.11,0.0762454683175644,0.041463855345345864,0.11429108633215486
3.12,0.07648686278336375,0.041595130625463266,0.1146529338798132
3.13,0.07672864475136404,0.04172661663725505,0.1150153622888459
3.14,0.07696269001749978,0.04185389527129654,0.1153661934701318
3.15,0.07720255995481412,0.04198434148143821,0.11572575576700031
